file,line,detail
ring_buf.h,270,succeed,task_id,103,predecessor_cnt,4,predecessor_id,11,idx,7
ring_buf.h,227,new,task_id,103, type,1
ring_buf.h,270,succeed,task_id,104,predecessor_cnt,2,predecessor_id,103,idx,0
ring_buf.h,227,new,task_id,104, type,0
ring_buf.h,270,succeed,task_id,105,predecessor_cnt,2,predecessor_id,104,idx,0
ring_buf.h,227,new,task_id,105, type,1
ring_buf.h,270,succeed,task_id,106,predecessor_cnt,2,predecessor_id,103,idx,1
ring_buf.h,270,succeed,task_id,106,predecessor_cnt,3,predecessor_id,105,idx,0
ring_buf.h,227,new,task_id,106, type,0
ring_buf.h,270,succeed,task_id,107,predecessor_cnt,2,predecessor_id,106,idx,0
ring_buf.h,270,succeed,task_id,107,predecessor_cnt,3,predecessor_id,105,idx,1
ring_buf.h,227,new,task_id,107, type,1
ring_buf.h,270,succeed,task_id,108,predecessor_cnt,2,predecessor_id,12,idx,8
ring_buf.h,270,succeed,task_id,108,predecessor_cnt,3,predecessor_id,9,idx,8
ring_buf.h,270,succeed,task_id,108,predecessor_cnt,4,predecessor_id,11,idx,8
ring_buf.h,227,new,task_id,108, type,1
ring_buf.h,270,succeed,task_id,109,predecessor_cnt,2,predecessor_id,108,idx,0
ring_buf.h,227,new,task_id,109, type,0
ring_buf.h,270,succeed,task_id,110,predecessor_cnt,2,predecessor_id,109,idx,0
ring_buf.h,227,new,task_id,110, type,1
ring_buf.h,270,succeed,task_id,111,predecessor_cnt,2,predecessor_id,108,idx,1
ring_buf.h,270,succeed,task_id,111,predecessor_cnt,3,predecessor_id,110,idx,0
ring_buf.h,227,new,task_id,111, type,0
ring_buf.h,270,succeed,task_id,112,predecessor_cnt,2,predecessor_id,111,idx,0
ring_buf.h,270,succeed,task_id,112,predecessor_cnt,3,predecessor_id,110,idx,1
ring_buf.h,227,new,task_id,112, type,1
ring_buf.h,270,succeed,task_id,113,predecessor_cnt,2,predecessor_id,12,idx,9
